"","po_document","po_item","changed_on","short_text","material_no","company","location","matl_svcs_group","po_quantity","order_price_un","unit_price","total_li_value"
"19861",7502285254,"00021",2008-05-18,"TREE: PROD; KHF; 10M; TEMP.","7000010773",2100,"Excavation Loc 001","006000",4,"EA",342352.71,1369410.84
"19862",7502285254,"00022",2008-09-17,"SPOOL ASSY: TUBING; 10M; DR1","7000003759",2100,"Excavation Loc 001","006000",4,"EA",129964.26,519857.04
"19863",7502285254,"00023",2008-05-18,"HANGER: ASSY; TUBING; 10M; DR1; TEMP.","7000010936",2100,"Excavation Loc 001","006000",4,"EA",40633.93,162535.72
"19864",7502285254,"00024",2008-05-18,"TREE: PROD; KHF; 10M; TEMP.","7000010773",2100,"Excavation Loc 001","006000",4,"EA",342352.71,1369410.84
"19865",7502286201,"00011",2009-11-19,"SERVICE: COATING OCTG; ACCESSORIES; TEMP","7000010881",2100,"Excavation Loc 001","003000",40000,"EA",0.66,26400
"19866",7502286201,"00012",2008-12-13,"SERVICE: COATING OCTG; ACCESSORIES; TEMP","7000010881",2100,"Excavation Loc 001","003000",15,"EA",13.2,198
"19867",7502286201,"00013",2008-12-13,"SERVICE: COATING OCTG; ACCESSORIES; TEMP","7000010881",2100,"Excavation Loc 001","003000",15,"EA",33,495
"19868",7502286201,"00014",2008-12-13,"SERVICE: COATING OCTG; ACCESSORIES; TEMP","7000010881",2100,"Excavation Loc 001","003000",15,"EA",46.2,693
"19869",7502286201,"00015",2008-12-13,"SERVICE: COATING OCTG; ACCESSORIES; TEMP","7000010881",2100,"Excavation Loc 001","003000",15,"EA",59.4,891
"19870",7502286201,"00016",2008-12-13,"SERVICE: COATING OCTG; ACCESSORIES; TEMP","7000010881",2100,"Excavation Loc 001","003000",20,"EA",118.8,2376
"19871",7502286201,"00017",2008-12-13,"SERVICE: COATING OCTG; ACCESSORIES; TEMP","7000010881",2100,"Excavation Loc 001","003000",20,"EA",13.2,264
"19872",7502286201,"00018",2008-12-13,"SERVICE: COATING OCTG; ACCESSORIES; TEMP","7000010881",2100,"Excavation Loc 001","003000",20,"EA",13.2,264
"19873",7502286201,"00019",2008-12-13,"SERVICE: COATING OCTG; ACCESSORIES; TEMP","7000010881",2100,"Excavation Loc 001","003000",20,"EA",19.8,396
"19874",7502286201,"00020",2008-12-13,"SERVICE: COATING OCTG; ACCESSORIES; TEMP","7000010881",2100,"Excavation Loc 001","003000",10,"EA",13.2,132
"19875",7502286201,"00021",2008-12-13,"SERVICE: COATING OCTG; ACCESSORIES; TEMP","7000010881",2100,"Excavation Loc 001","003000",20,"EA",13.2,264
"19876",7502287874,"00011",2008-01-12,"BIT, TWIST DRILL: 9.5 MM (3/8 IN),","7000012522",2100,"Excavation Loc 010","163000",50,"EA",3.71,185.46
"19877",7502287874,"00012",2008-01-12,"BIT, TWIST DRILL: 4.8 MM (3/16 IN),","7000012522",2100,"Excavation Loc 010","163000",200,"EA",1.15,229.68
